Block No,Threads,Block Size,Seq. Time,iBTM Time,TPS_Seq,TPS_iBTM,Speedup
14000394,4,52,3.599625,2.324819,14445.949230822654,22367.33268267336,1.5483463443820786
14000408,4,224,5.254159,5.140385,42632.89329462622,43576.502538234,1.0221333616061832
14000411,4,53,2.385798,2.318296,22214.789349307866,22861.619051234182,1.0291170756452153
14003316,4,504,22.667129,12.986992,22234.840592295568,38808.06271382934,1.7453717535207536
14003351,4,94,7.844567,4.846053,11982.81562258312,19397.229043925025,1.6187538601001679
14000423,4,286,12.115349,8.127079,23606.418601725793,35190.995436367724,1.490738431360148
14003391,4,96,8.445955,5.758079,11366.387815232263,16672.22697014056,1.4668008202040992
14000451,4,188,7.827264,6.268612,24018.609823304796,29990.690124065743,1.248643878421571
14000493,4,95,5.21898,3.873919,18202.79058360063,24522.970149866323,1.3472093763447301
14000494,4,80,3.509946,2.939259,22792.37344392193,27217.74433624257,1.1941601607752157
14003395,4,305,27.30113,14.990384,11171.698753861105,20346.376717234194,1.8212428714301114
14000529,4,277,15.766669,19.631955,17568.707759387857,14109.649293715269,0.803112527509359
14000554,4,28,0.848468,0.8456079999999999,33000.65529872665,33112.26951495256,1.0033821818147417
14003409,4,261,14.026676,8.410641,18607.402067318017,31032.117528259736,1.667729724761763
14003410,4,8,0.5678110000000001,0.62754,14089.195172337271,12748.191350352168,0.9048204098543521
14003412,4,83,5.006912,3.262356,16577.08383930055,25441.73597240767,1.5347534113383088
14000559,4,627,12.820919,12.266572,48904.4506091958,51114.52490557264,1.0451916802836196
14000589,4,313,13.387519,9.467157,23379.985492457567,33061.66782699389,1.4141012977813718
14003414,4,691,22.166011,16.069338,31173.85442062625,43001.14914503635,1.3793978943003131
14000595,4,318,17.330815,11.311342,18348.81971794171,28113.37505311041,1.5321625851291563
14000608,4,22,2.287332,2.271793,9618.19272409952,9683.980890864616,1.0068399717755976
14000638,4,25,2.105169,2.100432,11875.531133129929,11902.31342885654,1.0022552503484998
14003430,4,428,24.343845,13.015244,17581.446151994474,32884.51603366023,1.870410189774391
14000659,4,148,8.945885,5.891845,16543.919355100137,25119.46597373149,1.518350363935236
14000682,4,77,3.954783,2.87165,19470.09481936177,26813.852663103095,1.3771814113836993
14003485,4,211,15.483903,8.853068,13627.055142363008,23833.54561379174,1.7489872437442024
14000690,4,117,6.289076,4.312165,18603.68677370094,27132.542469965778,1.4584497578362607
14003500,4,120,9.573649,5.325548,12534.40563780853,22532.892389665813,1.7976833557785976
14000713,4,120,7.359071,4.618373,16306.406066744023,25983.176326381606,1.5934336615946785
14000720,4,473,9.347331,7.92562,50602.68005915271,59679.87362502871,1.1793816761338545
14000743,4,30,1.416631,1.412201,21177.003750447366,21243.434893474794,1.0031369472192697
14000778,4,75,4.793974,3.113933,15644.640542481038,24085.296632907648,1.5395238112059575
14003518,4,343,25.77852,14.288137,13305.651371762227,24005.92883452895,1.8041904273454263
14000787,4,101,3.610727,2.910655,27972.206151282,34700.09327797351,1.2405204326861135
14003541,4,102,8.540949,5.207048,11942.46681487034,19588.834210861893,1.6402669996512418
14003549,4,110,7.299832,4.757531,15068.839940426025,23121.236624627352,1.534374027200243
14003561,4,169,7.909359,5.749893,21367.09182122091,29391.85129184143,1.3755662931466726
14000798,4,338,14.737865,26.081206,22934.12241189616,12959.523420811138,0.5650760551486768
14003570,4,75,4.799225,3.045851,15627.523193849007,24623.660185609868,1.5756598073904469
14000816,4,162,9.07422,6.026792,17852.774122734514,26879.97196518479,1.5056467852217232
14000826,4,81,5.832753,4.118233,13887.095853364612,19668.629725418647,1.416324185639812
14000831,4,39,3.549807,2.385053,10986.512787878328,16351.837883686441,1.48835560467629
14000840,4,0,869.0,865.0,0.0,0.0,1.0046242774566474
14000868,4,149,6.037966,4.053173,24677.184336579572,36761.32254902517,1.489688695745284
14003573,4,383,34.337871,17.991996,11153.86565462955,21287.24350538984,1.9085081499573477
14003587,4,133,11.484149,7.134725,11581.180285975042,18641.22303242241,1.6096134048614348
14003601,4,137,4.582552,3.669303,29896.005544508822,37336.79121075583,1.2488889579301572
14000907,4,332,25.961888,17.760533,12787.975974628656,18693.13268920477,1.4617741483321474
14003611,4,35,2.378482,2.371979,14715.267973438522,14755.611242763953,1.0027415925689056
14003613,4,10,1.236863,1.232139,8084.969798595318,8115.967435492261,1.0038339830165266
14000998,4,42,3.515657,3.49353,11946.557926441628,12022.223939682784,1.006333708312223
14003618,4,56,4.85748,2.766561,11528.611543434045,20241.73694344712,1.755782720858134
14003664,4,80,4.392875,2.775804,18211.30808411348,28820.478679330387,1.5825595034807933
14001019,4,200,19.535786,16.423811,10237.622381817653,12177.44164250307,1.1894794697771425
14001020,4,4,0.5240009999999999,0.5153690000000001,7633.573218371721,7761.429189570966,1.016749164191094
14003666,4,328,21.293369,13.260998,15403.856477572901,24734.18667282809,1.605713913839667
14001033,4,352,18.480761,12.202865,19046.834705562178,28845.6850092171,1.5144608253881364
14003673,4,378,23.994766,13.353051,15753.435561738757,28308.137218977143,1.796950075304887
14001065,4,346,23.786825,13.487868,14545.867302592926,25652.682840609057,1.763571900318123
14003679,4,309,18.589093,11.187856,16622.65071243659,27619.23285390874,1.661542032718333
