Конфигурация,Блоков,Среднее ускорение,Макс TPS iBTM,Средний TPS iBTM
4 ядра,864,1.7015678911734793,187225.01326177176,21578.490473232843
8 ядер,500,3.4033167102371618,187324.3833905713,47059.69373027146
16 ядер,500,3.511282060731277,188040.616773223,47151.14538413
