Block No,Threads,Block Size,Seq. Time,iBTM Time,TPS_Seq,TPS_iBTM,Speedup
14001262,16,26,1.475489,1.467839,17621.276742828988,17713.114312945767,1.0052117432497707
14001274,16,166,9.272539,1.738777,17902.324271701636,95469.40176917454,5.332793681996024
14001316,16,299,18.375676,3.34355,16271.510229065861,89425.9095871155,5.495857995244575
14001338,16,129,12.748053,2.865256,10119.192319015303,45022.155088410946,4.449184645281259
14001370,16,242,25.781521,3.637776,9386.567999614917,66524.1620154732,7.087165619873241
14001412,16,128,10.227612,2.104716,12515.140386631796,60815.80602798668,4.859378652511788
14001420,16,64,5.122419,1.57331,12494.097027205311,40678.56938556292,3.2558230736472784
14001423,16,200,19.125318,3.77004,10457.342460920128,53049.83501501311,5.072974822548302
14001434,16,12,0.664361,0.663876,18062.46904920668,18075.66473257054,1.0007305581162746
14001438,16,68,4.145918,1.281178,16401.675093429247,53076.15335261767,3.2360202875790876
14001544,16,190,12.764887,3.247779,14884.5814302939,58501.51749857364,3.930343474725343
14001577,16,44,2.541606,2.581189,17311.88862475144,17046.407682660974,0.9846648191976642
14001592,16,175,13.913181,2.524366,12578.000674324585,69324.33727914256,5.511554584398617
14001593,16,163,11.13614,2.207691,14637.028629309618,73832.79634695254,5.044247587184982
14001595,16,313,19.926537,3.327243,15707.696726229951,94071.8787296269,5.988903425448637
14001621,16,330,18.755987,3.341043,17594.381996532626,98771.55127904669,5.613811914423131
14001668,16,104,5.143909,1.368309,20218.087061804556,76006.22374039782,3.7593182534062115
14001675,16,692,9.166755,8.969614,75490.18164006782,77149.36228024974,1.0219787607359692
14001699,16,29,2.404749,2.391287,12059.470655773222,12127.36070576221,1.0056296044765851
14001720,16,95,14.987202,7.533547,6338.741547621764,12610.261806291246,1.9893951680397028
14001749,16,314,18.955729,3.610033,16564.91290838775,86979.81431194674,5.250846460406318
14001761,16,0,888.0,891.0,0.0,0.0,0.9966329966329966
14001768,16,55,6.207228,1.746109,8860.63795304442,31498.606329845392,3.554891475847155
14001780,16,118,11.47442,3.640616,10283.74418924878,32412.097293425068,3.1517798086917157
14001819,16,154,10.256811,3.912498,15014.413349334407,39361.04248487795,2.621550477469893
14001833,16,234,19.111863,9.235427,12243.704342166957,25337.215052428004,2.0694076191604354
14001845,16,153,10.498813,1.805405,14573.076022975167,84745.52801172037,5.815212099224274
14001847,16,63,4.541728,1.350618,13871.372305871246,46645.31347871863,3.3627035919852983
14001868,16,35,1.917979,1.906949,18248.374982207835,18353.925563819485,1.0057841085419694
14001973,16,131,11.607448,3.111826,11285.85714965081,42097.469460053355,3.730108302970667
14001978,16,138,8.557518,1.725776,16126.171163180727,79964.02777649011,4.9586493264479286
14001986,16,180,17.041415,3.121176,10562.503172418486,57670.57032349345,5.459934012051868
14001990,16,164,16.872521,5.493865,9719.946414646633,29851.479786998767,3.071156826751294
14001994,16,336,21.867421,3.612767,15365.323601717824,93003.50673043681,6.05281796473451
14002005,16,188,17.862964,5.360427,10524.569158847322,35071.83289689423,3.3323770662299856
14002015,16,65,7.453904,1.718625,8720.262563081038,37820.93243144956,4.337132300530947
14002070,16,286,26.182098,9.026009,10923.494366265071,31686.20815689415,2.9007391860566503
14002074,16,91,7.833102,1.985182,11617.364359611302,45839.62578745929,3.9457853234615268
14002079,16,395,27.377352,18.518845,14427.984123519325,21329.623958729608,1.4783509446728453
14002090,16,220,12.822799,2.229458,17156.940540049018,98678.6923099695,5.751531986698112
14002174,16,141,13.537791,4.76802,10415.288579946315,29572.02360728353,2.8392898939182305
14002190,16,26,1.977283,1.975984,13149.356971156887,13158.001279362585,1.0006573939869958
14002194,16,225,17.400164,3.497321,12930.912605191537,64334.95810078629,4.975283652830266
14002224,16,49,1.6856,1.682307,29069.767441860466,29126.669508002997,1.0019574310753032
14002247,16,0,896.0,905.0,0.0,0.0,0.9900552486187846
14002282,16,151,10.506855,2.007648,14371.569798955064,75212.38782894213,5.233414921340793
14002297,16,46,5.448002,2.114083,8443.462392267846,21758.842959335085,2.5770047817422497
14002328,16,225,15.644364,3.08435,14382.176226531165,72948.91954544718,5.072175336780845
14002394,16,29,6.191724,6.190267,4683.671300594148,4684.773693929518,1.0002353694921398
14002402,16,197,7.955015,2.211673,24764.252487267462,89072.84214257714,3.5968314484103217
14002427,16,71,6.524262,1.953685,10882.456897040614,36341.58014214165,3.3394646526947795
14002462,16,394,23.956374,9.24758,16446.562405479228,42605.741177691896,2.590556015736009
14002477,16,383,25.984161,8.897525,14739.748572216744,43045.6784330474,2.9203807800483843
14002496,16,74,9.86552,3.009809,7500.871722929962,24586.277733902716,3.2777893879644853
14002514,16,476,18.840115,5.134361,25265.2385614419,92708.71292454893,3.6694176743707736
14002523,16,79,7.009019,2.184572,11271.192159701664,36162.68999144912,3.2084174840655284
14002531,16,410,22.210958,5.117214,18459.356863400488,80121.7224841486,4.340439543861172
14002536,16,64,3.963857,1.301509,16145.890227624255,49173.68992454144,3.04558554723786
14002538,16,71,6.71278,1.635685,10576.839997735662,43406.89069105604,4.103956446381791
14002541,16,249,17.200996,3.902823,14475.905930098466,63799.97248145765,4.407321572103065
14002678,16,149,7.355399,8.615323,20257.22873769322,17294.76654560717,0.8537577755355197
14002685,16,12,0.680879,0.678851,17624.27685389034,17676.927632131352,1.0029874007698303
14002720,16,306,18.028208,3.797558,16973.40079502078,80578.09781970414,4.747316038359387
14002741,16,422,19.386174,4.309349,21768.091011666358,97926.62418383843,4.498631695877962
14002780,16,244,17.28516,3.072067,14116.155129602503,79425.35107469987,5.626556972878522
14002794,16,333,21.902646,3.771474,15203.642518808001,88294.39099938114,5.807449819354449
14002806,16,251,4.371029,3.859267,57423.54946626984,65038.257264915854,1.1326060104159676
14002827,16,96,7.850518,2.210878,12228.492438333367,43421.663248718374,3.550859884625022
14002849,16,183,8.661476,2.454262,21128.03868532338,74564.16633594946,3.5291570337641214
14002875,16,136,11.298072,2.865563,12037.452053766343,47460.13261617351,3.9427058487285045
14002887,16,165,10.614918,2.127567,15544.161528143695,77553.37434731786,4.9892285413338335
14002933,16,347,22.483744,3.967152,15433.372662488951,87468.28959414714,5.667477323782905
14003024,16,144,10.023077,2.252052,14366.845630338867,63941.685183113,4.450641903472922
14003042,16,407,23.543803,4.336752,17286.926840154072,93849.03725184193,5.42890232136862
14003053,16,25,0.5066080000000001,0.508207,49347.81922117297,49192.553428032275,0.9968536442827433
14003065,16,191,9.878175,2.263877,19335.555403705643,84368.54122375023,4.363388558654027
14003070,16,77,4.976269,1.215223,15473.440041123178,63362.85603547662,4.094943068062405
14003088,16,321,23.817453,4.640307,13477.511638209175,69176.45750593657,5.1327321662122785
14003091,16,274,23.946749,10.379252,11442.054201177789,26398.81949103847,2.30717483302265
