Block No,Threads,Block Size,Seq. Time,iBTM Time,TPS_Seq,TPS_iBTM,Speedup
14000011,8,99,10.312857,4.587142,9599.667676958965,21582.065695807978,2.248209669550234
14000018,8,115,4.815542,1.496972,23881.008617513875,76821.74416087943,3.216855091477997
14000022,8,339,17.612678,4.477988,19247.498875525915,75703.641903462,3.9331677530176496
14000059,8,129,9.272735,2.873609,13911.753112754757,44891.28479205069,3.226860369660591
14000066,8,95,12.460757,4.992263,7623.934886138941,19029.446164995712,2.496013731648352
14000090,8,254,13.04357,3.302773,19473.196371852184,76905.07340347035,3.9492783791074952
14000101,8,73,5.268326,1.599751,13856.393852620356,45632.10149579529,3.2932162567799614
14000103,8,347,16.894476,3.995913,20539.257920754688,86838.72746979225,4.227938896567569
14000114,8,408,21.81697,6.893591,18701.038686857064,59185.40859183552,3.1648193227593575
14000123,8,13,1.337169,1.290517,9722.032144029663,10073.48217807282,1.036149853120881
14000166,8,65,3.78454,1.410038,17175.138854391815,46098.04842139006,2.683998587272116
14000176,8,70,5.748417,1.559708,12177.265497614388,44880.195523777526,3.685572555888666
14000208,8,218,11.100866,3.045223,19638.10751341382,71587.53234163803,3.6453376320880277
14000214,8,468,19.494749,6.338393,24006.464510007285,73835.74985015918,3.075661133665899
14000216,8,99,5.765052,1.956357,17172.43834053882,50604.260878766,2.9468302564409257
14000243,8,192,18.254019,7.298465,10518.231628881289,26306.901519703115,2.5010764592280705
14000255,8,244,14.899374,4.638122,16376.526960125975,52607.49932839197,3.2123721626986095
14000259,8,72,3.590508,1.262451,20052.87274112744,57031.91648626363,2.8440771166564085
14000261,8,72,2.848723,1.767337,25274.482636605946,40739.25912262347,1.6118731175774628
14000302,8,62,4.07288,1.941178,15222.643436585417,31939.36877504278,2.0981486499434876
14000315,8,333,8.905164,2.588406,37394.033394556245,128650.6058168618,3.440404635130655
14000334,8,36,1.091169,1.127041,32992.13962273488,31942.05002302489,0.9681715217103903
14000351,8,272,13.836962,5.582038,19657.49418116491,48727.72274212393,2.4788369409165614
14000366,8,397,15.075365,4.059793,26334.354093582475,97788.23698646705,3.713333413797206
14000394,8,52,3.524453,1.444279,14754.06254530845,36004.123856955615,2.440285429615746
14000408,8,224,5.120241,1.943428,43747.940770756686,115260.2514731701,2.6346440413537318
14000411,8,53,2.313196,2.306333,22912.023019233995,22980.202772106197,1.002975719464622
14000423,8,286,11.788152,3.276029,24261.648475520167,87300.81449217942,3.5983051432084396
14000451,8,188,7.57735,2.505596,24810.78477304071,75032.04826316772,3.024170696313372
14000493,8,95,5.088305,1.474988,18670.264459382837,64407.30365263989,3.449726370655219
14000494,8,80,3.290226,1.192518,24314.439190499375,67084.94127551952,2.759057724914844
14000529,8,277,15.046548,12.419075,18409.538187762402,22304.398677035126,1.2115675281774207
14000554,8,28,0.843904,0.843838,33179.12937964508,33181.72445421989,1.000078214064785
14000559,8,627,12.04066,6.226549,52073.55742957611,100697.83438627078,1.9337613821074884
14000589,8,313,12.888701,3.437315,24284.83677292227,91059.44610837239,3.7496420898288343
14000595,8,318,16.608534,3.808765,19146.783213979033,83491.63048914805,4.360608753756138
