Block No	Threads	Block Size	Seq. Time	iBTM Time
14003053	16	25	506.608µs	508.207µs
14003065	16	191	9.878175ms	2.263877ms
14003070	16	77	4.976269ms	1.215223ms
14003088	16	321	23.817453ms	4.640307ms
14003091	16	274	23.946749ms	10.379252ms
14003093	16	38	5.5312ms	2.109054ms
14003105	16	98	5.639424ms	2.5853ms
14003132	16	755	18.957226ms	13.263697ms
14003172	16	84	7.94488ms	1.860494ms
14003222	16	267	21.17652ms	3.985707ms
14003237	16	168	15.204317ms	3.258648ms
14003248	16	24	2.265345ms	2.260733ms
14003316	16	504	22.01815ms	5.144306ms
14003351	16	94	7.646923ms	1.710136ms
14003391	16	96	8.334396ms	1.905089ms
14003395	16	305	27.00841ms	8.233268ms
14003409	16	261	13.889915ms	2.863746ms
14003410	16	8	567.075µs	564.867µs
14003412	16	83	4.947055ms	1.276493ms
14003414	16	691	22.082487ms	11.946884ms
14003430	16	428	23.773215ms	5.936208ms
14003485	16	211	15.228779ms	3.882061ms
14003500	16	120	9.506753ms	2.549592ms
14003518	16	343	25.563214ms	9.308393ms
14003541	16	102	8.961772ms	1.805889ms
14003549	16	110	7.526743ms	1.639159ms
14003561	16	169	7.800121ms	1.920073ms
14003570	16	75	4.770546ms	1.212414ms
14003573	16	383	34.078906ms	11.67483ms
14003587	16	133	11.151979ms	3.342782ms
14003601	16	137	4.335443ms	1.55257ms
14003611	16	35	2.387815ms	2.381971ms
14003613	16	10	1.233521ms	1.230602ms
14003618	16	56	4.736451ms	1.237284ms
14003664	16	80	4.210868ms	1.360396ms
14003666	16	328	20.182561ms	3.671159ms
14003673	16	378	23.604177ms	5.602076ms
14003679	16	309	18.410602ms	3.502598ms
14003681	16	67	2.925339ms	1.25495ms
14003688	16	227	18.128606ms	3.088102ms
14003704	16	82	1.674612ms	1.665531ms
14003719	16	280	22.952827ms	3.830087ms
14003730	16	279	16.973962ms	3.03139ms
14003766	16	263	20.65297ms	3.715697ms
14003807	16	0	900ns	899ns
14003812	16	87	7.658856ms	1.726474ms
14003819	16	166	11.393788ms	3.439517ms
14003839	16	187	9.831955ms	2.10231ms
14003842	16	89	8.903266ms	2.626217ms
14003925	16	181	7.722507ms	2.416239ms
14003951	16	33	1.399287ms	1.392412ms
14003960	16	72	5.018777ms	1.518967ms
14003979	16	49	2.898451ms	2.88357ms
14004016	16	201	17.416821ms	15.208598ms
14004037	16	173	10.577065ms	4.658513ms
14004047	16	245	13.951306ms	5.307898ms
14004069	16	28	2.023364ms	2.015126ms
14004076	16	207	15.335842ms	4.990862ms
14004139	16	245	11.824024ms	2.579104ms
14004153	16	176	12.366704ms	6.48578ms
14004219	16	187	13.895822ms	6.274435ms
14004221	16	405	29.161055ms	12.782249ms
14004227	16	38	3.48296ms	3.477641ms
14004236	16	181	13.992815ms	2.505553ms
14004264	16	469	20.081765ms	5.717565ms
14004267	16	60	3.811186ms	1.350756ms
14004274	16	443	28.631859ms	6.75009ms
14004292	16	115	9.053941ms	2.68107ms
14004313	16	190	13.389827ms	2.653856ms
14004318	16	0	1.051µs	879ns
14004321	16	66	4.660357ms	1.415527ms
14004354	16	337	30.129841ms	8.808965ms
14004401	16	119	7.895141ms	2.084498ms
14004429	16	47	1.864959ms	1.857506ms
14004462	16	98	5.290754ms	1.374225ms
14004483	16	388	23.402508ms	4.413878ms
14004522	16	690	18.894474ms	7.675402ms
14004524	16	118	6.887878ms	1.844365ms
14004529	16	192	11.560023ms	3.450735ms
14004558	16	340	33.455259ms	13.776616ms
14004559	16	99	5.659539ms	1.638295ms
14004565	16	100	15.286402ms	21.548616ms
14004574	16	472	39.321072ms	11.818182ms
14004599	16	170	14.240737ms	8.190087ms
14004635	16	436	32.958662ms	10.22546ms
14004651	16	106	5.747108ms	1.496826ms
14004653	16	435	30.465861ms	9.373755ms
14004713	16	132	6.787819ms	2.074687ms
14004715	16	81	3.550239ms	1.123744ms
14004782	16	373	22.93908ms	4.397078ms
14004788	16	53	3.662253ms	3.649437ms
14004792	16	350	32.071466ms	9.175543ms
14004794	16	207	22.16226ms	4.298994ms
14004810	16	137	5.887533ms	1.939966ms
14004814	16	30	3.301321ms	3.304684ms
14004832	16	23	264.612µs	263.5µs
14004833	16	205	18.558998ms	3.975893ms
14004850	16	253	12.198602ms	2.681081ms
14004854	16	62	6.978518ms	2.088462ms
14004861	16	177	14.424049ms	4.637447ms
14004890	16	322	18.245904ms	5.842223ms
14004892	16	154	5.949689ms	1.941849ms
14004894	16	88	11.236431ms	5.818733ms
14004977	16	104	6.327955ms	1.620237ms
14004983	16	185	13.263894ms	3.292338ms
21631009	16	177	14.012329ms	4.045325ms
21631021	16	149	15.016732ms	7.153047ms
21631037	16	221	15.817987ms	3.391699ms
21631051	16	108	16.920792ms	8.076875ms
21631060	16	243	22.966351ms	5.311508ms
21631065	16	249	19.855166ms	4.689218ms
21631115	16	174	17.983042ms	3.765849ms
21631117	16	166	13.001286ms	2.403658ms
21631144	16	157	19.209315ms	3.689621ms
21631187	16	157	16.625103ms	7.055897ms
21631212	16	139	11.637527ms	2.927362ms
21631225	16	176	14.452401ms	4.290384ms
21631228	16	169	13.824806ms	2.662247ms
21631256	16	177	14.352511ms	3.211245ms
21631258	16	161	14.032991ms	3.156073ms
21631269	16	147	10.92663ms	2.424345ms
21631299	16	69	2.742195ms	2.732028ms
21631322	16	182	12.230214ms	3.061541ms
21631328	16	162	19.658256ms	4.936258ms
21631329	16	133	10.921244ms	2.979874ms
21631341	16	116	11.507913ms	3.594104ms
21631361	16	251	23.816902ms	4.759755ms
21631375	16	215	22.640516ms	6.36678ms
21631381	16	213	16.511389ms	3.048805ms
21631391	16	110	10.638167ms	2.792619ms
21631395	16	162	13.88029ms	3.252901ms
21631399	16	157	12.443009ms	2.412212ms
21631403	16	226	23.950774ms	6.463612ms
21631405	16	141	10.779986ms	2.461841ms
21631421	16	148	16.301062ms	5.660152ms
21631449	16	204	17.751861ms	3.984476ms
21631466	16	172	16.298407ms	3.89488ms
21631489	16	190	18.023474ms	5.481606ms
21631499	16	148	17.954591ms	3.376711ms
21631525	16	239	23.364995ms	4.211029ms
21631533	16	178	12.757642ms	3.232156ms
21631557	16	302	31.594265ms	9.045898ms
21631611	16	160	12.188251ms	5.848685ms
21631640	16	133	11.835152ms	3.653236ms
21631654	16	217	15.683951ms	3.540718ms
21631655	16	158	12.121495ms	3.552947ms
21631662	16	254	10.084904ms	2.706998ms
21631673	16	175	11.777465ms	2.676455ms
21631707	16	188	14.149749ms	3.350068ms
21631778	16	212	15.863331ms	4.514436ms
21631794	16	320	20.063696ms	5.141564ms
21631795	16	188	14.094162ms	4.05579ms
21631798	16	221	15.466528ms	4.578631ms
21631857	16	308	21.84039ms	7.435123ms
21631902	16	116	10.529412ms	3.795429ms
21631908	16	205	21.311599ms	4.346383ms
21631918	16	108	7.915452ms	1.809316ms
21631922	16	158	20.564826ms	6.310382ms
21631924	16	163	16.089648ms	6.269625ms
21631925	16	148	11.992526ms	3.746718ms
21631937	16	154	13.488249ms	4.827372ms
21631938	16	289	21.01326ms	4.481235ms
21631940	16	156	12.392021ms	2.468004ms
21631971	16	134	8.122949ms	2.163464ms
21631983	16	101	12.098973ms	7.89996ms
21631986	16	191	14.695938ms	2.695036ms
21632006	16	280	31.022329ms	9.23634ms
21632017	16	55	5.279462ms	1.780029ms
21632033	16	178	19.513431ms	6.318668ms
21632051	16	139	11.020782ms	2.512528ms
21632053	16	107	20.820733ms	9.439822ms
21632055	16	65	3.358912ms	3.351841ms
21632080	16	173	11.582382ms	3.021257ms
21632090	16	166	15.020597ms	2.831575ms
21632179	16	227	27.084587ms	4.412719ms
21632191	16	63	9.596363ms	8.008706ms
21632210	16	208	29.331911ms	9.481037ms
21632220	16	173	20.272185ms	9.703817ms
21632248	16	202	13.094786ms	3.410142ms
21632264	16	148	7.074291ms	2.412642ms
21632277	16	97	3.488742ms	1.168213ms
21632280	16	227	30.26208ms	9.710554ms
21632289	16	228	17.926967ms	3.655586ms
21632301	16	146	12.425822ms	3.229595ms
21632302	16	161	15.053815ms	3.690416ms
21632321	16	191	16.042827ms	4.84591ms
21632323	16	234	25.776478ms	10.787646ms
21632374	16	114	9.830082ms	4.78877ms
21632388	16	215	15.614922ms	3.491129ms
21632427	16	298	24.312201ms	5.722606ms
21632465	16	183	17.715956ms	4.211094ms
21632495	16	244	19.773622ms	4.08728ms
21632496	16	179	13.63751ms	4.690469ms
21632524	16	166	19.668178ms	9.7296ms
21632539	16	202	22.883197ms	16.082103ms
21632612	16	131	15.951858ms	4.218817ms
21632615	16	192	18.655243ms	3.993107ms
21632635	16	333	31.054043ms	5.958261ms
21632663	16	181	20.993125ms	9.492623ms
21632673	16	200	18.890754ms	4.099316ms
21632677	16	167	12.726504ms	2.409821ms
21632679	16	167	15.161876ms	4.240792ms
21632693	16	188	21.918842ms	5.525513ms
21632751	16	225	19.752543ms	9.280489ms
21632761	16	53	2.747161ms	2.784941ms
21632835	16	181	14.550824ms	4.428361ms
21632879	16	137	43.401351ms	29.939304ms
21632889	16	230	21.85113ms	4.272171ms
21632907	16	134	14.501066ms	3.392776ms
21632935	16	168	27.112388ms	11.936453ms
21632952	16	129	9.738418ms	2.407803ms
21632980	16	170	17.542783ms	4.74735ms
21632995	16	248	39.676779ms	17.405972ms
21633042	16	248	20.36138ms	6.760225ms
21633064	16	131	12.511496ms	3.72002ms
21633074	16	188	12.769547ms	3.531514ms
21633101	16	203	23.187195ms	6.373809ms
21633103	16	175	16.453205ms	3.749068ms
21633114	16	209	23.618675ms	5.86173ms
21633122	16	130	15.454317ms	3.891776ms
21633146	16	156	12.167926ms	4.254118ms
21633163	16	243	26.278304ms	5.185898ms
21633186	16	199	15.61457ms	3.504834ms
21633207	16	161	12.30012ms	3.221745ms
21633212	16	80	20.395407ms	15.56767ms
21633243	16	237	20.566113ms	3.92458ms
21633254	16	141	21.183743ms	6.411535ms
21633268	16	192	16.120491ms	3.388204ms
21633342	16	174	17.361995ms	4.592856ms
21633351	16	173	14.997051ms	3.409045ms
21633376	16	160	16.519351ms	4.110613ms
21633394	16	245	20.638597ms	5.361712ms
21633416	16	202	16.100409ms	3.726455ms
21633427	16	273	19.827081ms	3.57389ms
21633435	16	165	12.26256ms	3.206365ms
21633484	16	152	16.781706ms	4.439358ms
21633486	16	315	27.332668ms	5.344116ms
21633492	16	157	12.933664ms	4.086761ms
21633508	16	256	21.499647ms	4.471019ms
21633509	16	89	7.255037ms	1.911232ms
21633666	16	230	18.420059ms	5.258796ms
21633673	16	163	19.038321ms	4.609213ms
21633675	16	230	16.224767ms	3.205758ms
21633709	16	232	11.947397ms	6.78698ms
21633726	16	146	12.218469ms	3.033047ms
21633728	16	267	26.156195ms	4.946942ms
21633737	16	121	14.095314ms	6.275977ms
21633746	16	111	9.756224ms	2.181429ms
21633768	16	144	12.551802ms	4.225121ms
21633769	16	66	5.666178ms	3.12677ms
21633784	16	200	28.405489ms	4.923814ms
21633786	16	174	19.706151ms	5.132902ms
21633795	16	226	22.544478ms	4.228887ms
21633808	16	135	12.772777ms	3.374071ms
21633813	16	154	15.374761ms	6.209634ms
21633814	16	185	23.068376ms	4.690818ms
21633847	16	121	12.366906ms	2.515295ms
21633875	16	222	20.286ms	5.115379ms
21633882	16	141	18.556804ms	7.057446ms
21633905	16	123	15.042604ms	2.750501ms
21633946	16	124	6.022502ms	2.308792ms
21633989	16	180	16.959026ms	3.1241ms
21634017	16	167	19.943548ms	5.233088ms
21634069	16	53	8.214948ms	2.6661ms
21634083	16	149	11.848658ms	3.003351ms
21634092	16	179	15.480014ms	2.895547ms
21634098	16	212	21.798281ms	4.487965ms
21634102	16	144	14.438642ms	4.438339ms
21634122	16	220	28.31335ms	5.543613ms
21634175	16	161	18.239119ms	4.53445ms
21634192	16	180	23.104196ms	4.224639ms
21634221	16	250	25.94274ms	5.388323ms
21634230	16	95	11.152819ms	5.052328ms
21634260	16	67	57.420682ms	47.62829ms
21634268	16	114	11.323895ms	3.478294ms
21634286	16	236	24.568647ms	6.597152ms
21634302	16	138	14.591774ms	4.1039ms
21634304	16	210	26.019578ms	8.314873ms
21634340	16	224	21.289196ms	5.303973ms
21634352	16	163	17.576285ms	8.295292ms
21634353	16	169	14.340377ms	3.423236ms
21634380	16	121	12.377432ms	4.137415ms
21634401	16	84	6.370662ms	2.155126ms
